Title | Type | SJR | H index | Total Docs. (2023) | Total Docs. (3years) | Total Refs. (2023) | Total Cites (3years) | Citable Docs. (3years) | Cites / Doc. (2years) | Ref. / Doc. (2023) | %Female (2023) | 
405 | IEEE Network | journal | 3.896 Q1 | 151 | 282 | 683 | 2268 | 6608 | 655 | 7.61 | 8.04 | 29.01 | 
406 | Molecular Psychiatry | journal | 3.895 Q1 | 250 | 552 | 1431 | 45931 | 14069 | 1303 | 9.21 | 83.21 | 44.14 | 
407 | Kidney International | journal | 3.886 Q1 | 318 | 361 | 1357 | 9270 | 8714 | 672 | 6.20 | 25.68 | 42.71 | 
408 | Educational Research Review | journal | 3.874 Q1 | 100 | 48 | 130 | 5704 | 2101 | 129 | 12.20 | 118.83 | 57.87 | 
409 | Contemporary Educational Psychology | journal | 3.863 Q1 | 130 | 84 | 216 | 7477 | 2702 | 214 | 4.93 | 89.01 | 55.99 | 
410 | RAND Journal of Economics | journal | 3.860 Q1 | 127 | 23 | 107 | 1043 | 300 | 107 | 2.52 | 45.35 | 13.64 | 
411 | ACS Catalysis | journal | 3.847 Q1 | 293 | 1435 | 4181 | 97992 | 53252 | 4142 | 11.70 | 68.29 | 32.14 | 
412 | American Economic Journal: Microeconomics | journal | 3.835 Q1 | 54 | 60 | 166 | 2755 | 356 | 166 | 2.09 | 45.92 | 14.52 | 
413 | IEEE Transactions on Power Systems | journal | 3.827 Q1 | 307 | 593 | 1489 | 17540 | 13199 | 1476 | 7.89 | 29.58 | 23.96 | 
414 | European Journal of Information Systems | journal | 3.824 Q1 | 128 | 89 | 121 | 8012 | 1961 | 109 | 12.39 | 90.02 | 25.98 | 
415 | PLoS Biology | journal | 3.822 Q1 | 305 | 471 | 1083 | 28978 | 8954 | 1064 | 6.34 | 61.52 | 40.54 | 
416 | IEEE Journal on Selected Topics in Signal Processing | journal | 3.818 Q1 | 141 | 94 | 332 | 4946 | 3733 | 322 | 11.48 | 52.62 | 26.38 | 
417 | European Respiratory Journal | journal | 3.810 Q1 | 282 | 371 | 1759 | 12796 | 12994 | 981 | 7.12 | 34.49 | 43.50 | 
418 | Academy of Management Discoveries | journal | 3.803 Q1 | 26 | 29 | 118 | 2307 | 631 | 88 | 4.44 | 79.55 | 47.37 | 
419 | Microbiome | journal | 3.802 Q1 | 143 | 266 | 622 | 19900 | 8873 | 607 | 13.17 | 74.81 | 44.00 | 
420 | Advances in Applied Energy | journal | 3.788 Q1 | 33 | 42 | 103 | 4290 | 1541 | 97 | 14.96 | 102.14 | 26.74 | 
421 | Sociological Methods and Research | journal | 3.788 Q1 | 94 | 80 | 192 | 4880 | 1624 | 189 | 8.24 | 61.00 | 30.11 | 
422 | Biological Psychiatry | journal | 3.786 Q1 | 356 | 314 | 846 | 16137 | 5371 | 526 | 6.10 | 51.39 | 43.26 | 
423 | Cancer Immunology Research | journal | 3.781 Q1 | 134 | 138 | 425 | 5941 | 3342 | 406 | 6.37 | 43.05 | 41.46 | 
424 | Duke Mathematical Journal | journal | 3.774 Q1 | 95 | 112 | 209 | 3619 | 559 | 209 | 2.45 | 32.31 | 21.22 | 
425 | Personnel Psychology | journal | 3.763 Q1 | 167 | 55 | 93 | 7139 | 695 | 92 | 6.39 | 129.80 | 39.13 | 
426 | ISPRS Journal of Photogrammetry and Remote Sensing | journal | 3.760 Q1 | 187 | 289 | 777 | 21339 | 10766 | 772 | 11.83 | 73.84 | 28.50 | 
427 | Journal of Development Economics | journal | 3.737 Q1 | 171 | 150 | 371 | 8487 | 2337 | 371 | 5.69 | 56.58 | 37.27 | 
428 | Proceedings of the National Academy of Sciences of the United States of America | journal | 3.737 Q1 | 869 | 3661 | 12117 | 194987 | 110408 | 11055 | 8.18 | 53.26 | 35.74 | 
429 | Molecular Therapy | journal | 3.736 Q1 | 209 | 288 | 830 | 15752 | 7824 | 717 | 9.43 | 54.69 | 42.79 | 
430 | Journal for ImmunoTherapy of Cancer | journal | 3.728 Q1 | 117 | 445 | 1590 | 19408 | 14743 | 1571 | 8.71 | 43.61 | 42.99 | 
431 | ACS Central Science | journal | 3.722 Q1 | 136 | 251 | 733 | 12200 | 8913 | 699 | 9.57 | 48.61 | 35.12 | 
432 | Journal of Cell Biology | journal | 3.717 Q1 | 414 | 265 | 833 | 15215 | 5160 | 794 | 5.99 | 57.42 | 42.38 | 
433 | Lancet Rheumatology, The | journal | 3.717 Q1 | 54 | 149 | 591 | 2803 | 2764 | 203 | 4.71 | 18.81 | 39.82 | 
434 | Current Climate Change Reports | journal | 3.713 Q1 | 53 | 4 | 31 | 477 | 288 | 30 | 8.89 | 119.25 | 38.89 | 
435 | Nature Cardiovascular Research | journal | 3.710 Q1 | 15 | 194 | 182 | 5652 | 691 | 75 | 3.80 | 29.13 | 39.76 | 
436 | Arthritis and Rheumatology | journal | 3.708 Q1 | 353 | 330 | 975 | 9945 | 6341 | 627 | 6.84 | 30.14 | 47.30 | 
437 | Archive for Rational Mechanics and Analysis | journal | 3.703 Q1 | 111 | 108 | 394 | 4304 | 1201 | 393 | 2.70 | 39.85 | 19.84 | 
438 | IEEE Transactions on Medical Imaging | journal | 3.703 Q1 | 259 | 362 | 1038 | 16564 | 12917 | 1037 | 9.83 | 45.76 | 28.12 | 
439 | Journal of Allergy and Clinical Immunology | journal | 3.701 Q1 | 338 | 386 | 1379 | 19313 | 11357 | 979 | 7.86 | 50.03 | 48.22 | 
440 | ISME Journal | journal | 3.692 Q1 | 230 | 226 | 783 | 16228 | 9197 | 777 | 11.23 | 71.81 | 38.97 | 
441 | Radiology | journal | 3.692 Q1 | 336 | 730 | 1624 | 15092 | 13657 | 954 | 6.14 | 20.67 | 34.46 | 
442 | Trends in Genetics | journal | 3.690 Q1 | 245 | 104 | 383 | 7419 | 2890 | 373 | 7.75 | 71.34 | 35.91 | 
443 | Computer Science Review | journal | 3.679 Q1 | 75 | 53 | 166 | 8913 | 3334 | 164 | 19.83 | 168.17 | 28.65 | 
444 | Eco-Environment and Health | journal | 3.678 Q1 | 10 | 36 | 27 | 2619 | 408 | 24 | 15.11 | 72.75 | 42.07 | 
445 | Experimental and Molecular Medicine | journal | 3.671 Q1 | 115 | 217 | 535 | 16561 | 6549 | 524 | 9.18 | 76.32 | 39.80 | 
446 | IEEE Transactions on Robotics | journal | 3.669 Q1 | 190 | 287 | 503 | 14364 | 5784 | 503 | 11.72 | 50.05 | 19.71 | 
447 | Cancer Treatment Reviews | journal | 3.667 Q1 | 164 | 87 | 305 | 7857 | 3415 | 301 | 9.74 | 90.31 | 40.97 | 
